Entry Number,Hotel Name,Region,Hotel Type,Star Rating,Check-in Date,Season,Total Revenue,Occupancy Rate (%),Customer Rating (1-5),Feedback Category,Customer Comments
H021,Mountain Retreat,Colorado,Boutique,3,1/5/2024,Winter,33130,98.11,4.1,Amenities,Modern amenities and comfortable spaces.
H022,The Grand Oak,California,Luxury,5,1/5/2024,Winter,101880,74.48,4.4,Service,Staff went above and beyond.
H023,Seaside Shores,Florida,Resort,4,1/5/2024,Winter,24230,94.41,4.3,Service,Exceptional staff and warm hospitality.
H024,Metro Meridian,New York,Business,5,1/5/2024,Winter,103010,76.31,3,Amenities,Very basic and outdated facilities.
H025,Budget Haven,Texas,Budget,3,1/5/2024,Winter,123900,92.98,4.7,Food,Loved every meal served.
H026,Mountain Retreat,Colorado,Boutique,3,1/6/2024,Winter,17000,84.7,4.7,Service,Staff went above and beyond.
H027,The Grand Oak,California,Luxury,5,1/6/2024,Winter,72140,84.08,4.9,Cleanliness,Room was spotless and well-kept.
H028,Seaside Shores,Florida,Resort,4,1/6/2024,Winter,62560,79.08,3.9,Food,Food took a while to arrive.
H029,Metro Meridian,New York,Business,5,1/6/2024,Winter,103640,71.58,4.7,Service,Always greeted with a smile.
H030,Budget Haven,Texas,Budget,3,1/6/2024,Winter,46080,97.15,4.3,Location,Excellent for walking everywhere.
H031,Mountain Retreat,Colorado,Boutique,3,1/7/2024,Winter,21560,92.7,4.8,Service,Exceptional staff and warm hospitality.
H032,The Grand Oak,California,Luxury,5,1/7/2024,Winter,37700,89.28,4.9,Service,Always greeted with a smile.
H033,Seaside Shores,Florida,Resort,4,1/7/2024,Winter,53440,77.07,4.6,Service,Staff went above and beyond.
H034,Metro Meridian,New York,Business,5,1/7/2024,Winter,97650,99.41,4.9,Service,Always greeted with a smile.
H035,Budget Haven,Texas,Budget,3,1/7/2024,Winter,50240,97.86,3.6,Amenities,Modern amenities and comfortable spaces.
H036,Mountain Retreat,Colorado,Boutique,3,1/8/2024,Winter,124730,81.38,4.3,Service,Staff went above and beyond.
H037,The Grand Oak,California,Luxury,5,1/8/2024,Winter,59890,78.19,4.1,Cleanliness,Room could smell a little better.
H038,Seaside Shores,Florida,Resort,4,1/8/2024,Winter,13040,90.55,3.9,Amenities,Modern amenities and comfortable spaces.
H039,Metro Meridian,New York,Business,5,1/8/2024,Winter,52970,91.81,3.5,Food,Tasty and well-prepared dishes.
H040,Budget Haven,Texas,Budget,3,1/8/2024,Winter,52430,99.08,4.6,Service,Exceptional staff and warm hospitality.
H041,Mountain Retreat,Colorado,Boutique,3,1/9/2024,Winter,55540,97.05,4.2,Amenities,Lots of extras included.
H042,The Grand Oak,California,Luxury,5,1/9/2024,Winter,74800,99.9,4,Amenities,Modern amenities and comfortable spaces.
H043,Seaside Shores,Florida,Resort,4,1/9/2024,Winter,124320,98.03,4.2,Amenities,Top-notch amenities with everything you need.
H044,Metro Meridian,New York,Business,5,1/9/2024,Winter,63780,93.34,4.7,Cleanliness,Hygiene standards were top notch.
H045,Budget Haven,Texas,Budget,3,1/9/2024,Winter,9730,74.62,4.7,Food,Loved every meal served.
H046,Mountain Retreat,Colorado,Boutique,3,1/10/2024,Winter,28870,93.51,4.2,Cleanliness,Hygiene standards were top notch.
H047,The Grand Oak,California,Luxury,5,1/10/2024,Winter,60360,76.99,3.9,Food,Food took a while to arrive.
H048,Seaside Shores,Florida,Resort,4,1/10/2024,Winter,20570,91.8,5,Cleanliness,Cleaned twice a day – amazing!
H049,Metro Meridian,New York,Business,5,1/10/2024,Winter,99380,73.82,5,Service,Always greeted with a smile.
H050,Budget Haven,Texas,Budget,3,1/10/2024,Winter,51220,85.02,4.3,Service,Always greeted with a smile.
H051,Mountain Retreat,Colorado,Boutique,3,1/11/2024,Winter,100580,84.88,3.6,Service,"Staff was helpful, though not always available."
H052,The Grand Oak,California,Luxury,5,1/11/2024,Winter,28430,77.56,3.7,Food,Food took a while to arrive.
H053,Seaside Shores,Florida,Resort,4,1/11/2024,Winter,23140,95.22,3.8,Cleanliness,Room was mostly clean.
H054,Metro Meridian,New York,Business,5,1/11/2024,Winter,18440,76.41,3.8,Service,"Staff was helpful, though not always available."
H055,Budget Haven,Texas,Budget,3,1/11/2024,Winter,56650,89.34,4.4,Cleanliness,So clean it felt brand new.
H056,Mountain Retreat,Colorado,Boutique,3,1/12/2024,Winter,115100,75.91,5,Cleanliness,Cleaned twice a day – amazing!
H057,The Grand Oak,California,Luxury,5,1/12/2024,Winter,65910,94.71,3.9,Service,"Staff was helpful, though not always available."
H058,Seaside Shores,Florida,Resort,4,1/12/2024,Winter,86360,83.8,3.6,Cleanliness,Clean enough for a short stay.
H059,Metro Meridian,New York,Business,5,1/12/2024,Winter,39720,95.74,4.4,Service,Staff went above and beyond.
H060,Budget Haven,Texas,Budget,3,1/12/2024,Winter,116300,73.66,3.8,Food,Breakfast was limited but decent.
H061,Mountain Retreat,Colorado,Boutique,3,1/13/2024,Winter,97860,94.25,4.2,Cleanliness,Hygiene standards were top notch.
H062,The Grand Oak,California,Luxury,5,1/13/2024,Winter,60280,79.47,4.9,Amenities,Top-notch amenities with everything you need.
H063,Seaside Shores,Florida,Resort,4,1/13/2024,Winter,50430,97.89,4.9,Food,Loved every meal served.
H064,Metro Meridian,New York,Business,5,1/13/2024,Winter,100900,90.89,5,Service,Exceptional staff and warm hospitality.
H065,Budget Haven,Texas,Budget,3,1/13/2024,Winter,37070,92.36,4.4,Food,Tasty and well-prepared dishes.
H066,Mountain Retreat,Colorado,Boutique,3,1/14/2024,Winter,36020,97.89,3.6,Cleanliness,Room was mostly clean.
H067,The Grand Oak,California,Luxury,5,1/14/2024,Winter,123540,93.15,4.4,Amenities,Lots of extras included.
H068,Seaside Shores,Florida,Resort,4,1/14/2024,Winter,48380,81.42,3.8,Food,Limited but decent selection.
H069,Metro Meridian,New York,Business,5,1/14/2024,Winter,73860,93.94,3.7,Food,Breakfast was limited but decent.
H070,Budget Haven,Texas,Budget,3,1/14/2024,Winter,87580,71.11,4.2,Service,Exceptional staff and warm hospitality.
H071,Mountain Retreat,Colorado,Boutique,3,1/15/2024,Winter,75100,78.65,4.5,Food,Loved every meal served.
H072,The Grand Oak,California,Luxury,5,1/15/2024,Winter,83470,97.88,4.1,Cleanliness,Room could smell a little better.
H073,Seaside Shores,Florida,Resort,4,1/15/2024,Winter,75720,99.59,5,Cleanliness,Hygiene standards were top notch.
H074,Metro Meridian,New York,Business,5,1/15/2024,Winter,43440,88.68,4.1,Food,Food took a while to arrive.
H075,Budget Haven,Texas,Budget,3,1/15/2024,Winter,8070,92.55,4.4,Food,Tasty and well-prepared dishes.
H076,Mountain Retreat,Colorado,Boutique,3,1/16/2024,Winter,53490,89.84,5,Amenities,Top-notch amenities with everything you need.
H077,The Grand Oak,California,Luxury,5,1/16/2024,Winter,24300,78.33,4.1,Food,Breakfast was limited but decent.
H078,Seaside Shores,Florida,Resort,4,1/16/2024,Winter,80060,91.05,4.1,Amenities,Modern amenities and comfortable spaces.
H079,Metro Meridian,New York,Business,5,1/16/2024,Winter,92280,96.88,5,Amenities,Lots of extras included.
H080,Budget Haven,Texas,Budget,3,1/16/2024,Winter,89300,72.92,3.2,Amenities,Okay. Nothing special.
H081,Mountain Retreat,Colorado,Boutique,3,1/17/2024,Winter,58850,79.86,4.7,Cleanliness,Hygiene standards were top notch.
H082,The Grand Oak,California,Luxury,5,1/17/2024,Winter,67260,77.07,4,Food,Limited but decent selection.
H083,Seaside Shores,Florida,Resort,4,1/17/2024,Winter,92460,84.13,3.4,Food,Limited vegetarian options.
H084,Metro Meridian,New York,Business,5,1/17/2024,Winter,105720,79.02,3.7,Food,Breakfast was limited but decent.
H085,Budget Haven,Texas,Budget,3,1/17/2024,Winter,69690,96.81,4.9,Cleanliness,So clean it felt brand new.
H086,Mountain Retreat,Colorado,Boutique,3,1/18/2024,Winter,97920,91.76,4.5,Cleanliness,Cleaned twice a day – amazing!
H087,The Grand Oak,California,Luxury,5,1/18/2024,Winter,25770,96.98,4.1,Cleanliness,Room was mostly clean.
H088,Seaside Shores,Florida,Resort,4,1/18/2024,Winter,103240,90.92,4.3,Cleanliness,Hygiene standards were top notch.
H089,Metro Meridian,New York,Business,5,1/18/2024,Winter,61170,82.73,3,Amenities,Okay. Nothing special.
H090,Budget Haven,Texas,Budget,3,1/18/2024,Winter,122310,99.05,3.6,Service,"Staff was helpful, though not always available."
H091,Mountain Retreat,Colorado,Boutique,3,1/19/2024,Winter,62840,90.52,4.4,Service,Always greeted with a smile.
H092,The Grand Oak,California,Luxury,5,1/19/2024,Winter,7300,72.43,3.8,Cleanliness,Room could smell a little better.
H093,Seaside Shores,Florida,Resort,4,1/19/2024,Winter,105190,74.07,3.3,Cleanliness,Room looked better than hallway.
H094,Metro Meridian,New York,Business,5,1/19/2024,Winter,24790,78.4,4.4,Service,Always greeted with a smile.
H095,Budget Haven,Texas,Budget,3,1/19/2024,Winter,69930,98.65,4.2,Service,Staff went above and beyond.
H096,Mountain Retreat,Colorado,Boutique,3,1/20/2024,Winter,35970,76.19,4.6,Service,Always greeted with a smile.
H097,The Grand Oak,California,Luxury,5,1/20/2024,Winter,84950,84.75,5,Food,Loved every meal served.
H098,Seaside Shores,Florida,Resort,4,1/20/2024,Winter,87040,89.32,5,Food,Loved every meal served.
H099,Metro Meridian,New York,Business,5,1/20/2024,Winter,60960,88.6,4.3,Cleanliness,Hygiene standards were top notch.
H100,Budget Haven,Texas,Budget,3,1/20/2024,Winter,47590,75.85,4.1,Cleanliness,A little bit of trash was still left in trash can.
H101,Mountain Retreat,Colorado,Boutique,3,1/21/2024,Winter,41270,80.06,3.6,Cleanliness,Room could smell a little better.
H102,The Grand Oak,California,Luxury,5,1/21/2024,Winter,106050,94.67,4.2,Food,Tasty and well-prepared dishes.
H103,Seaside Shores,Florida,Resort,4,1/21/2024,Winter,40990,95.89,5,Amenities,Lots of extras included.
H104,Metro Meridian,New York,Business,5,1/21/2024,Winter,50300,70.67,4.3,Cleanliness,Cleaned twice a day – amazing!
H105,Budget Haven,Texas,Budget,3,1/21/2024,Winter,111980,71.07,4,Amenities,Modern amenities and comfortable spaces.
H106,Mountain Retreat,Colorado,Boutique,3,1/22/2024,Winter,40680,89.63,5,Food,Loved every meal served.
H107,The Grand Oak,California,Luxury,5,1/22/2024,Winter,54600,76.85,4,Service,"Staff was helpful, though not always available."
H108,Seaside Shores,Florida,Resort,4,1/22/2024,Winter,74690,77.79,3,Food,Didn't match the 5 star reviews
H109,Metro Meridian,New York,Business,5,1/22/2024,Winter,67570,94.92,4.2,Cleanliness,So clean it felt brand new.
H110,Budget Haven,Texas,Budget,3,1/22/2024,Winter,108020,91.37,3.7,Cleanliness,A little bit of trash was still left in trash can.
H111,Mountain Retreat,Colorado,Boutique,3,1/23/2024,Winter,106460,75.86,4.7,Food,Loved every meal served.
H112,The Grand Oak,California,Luxury,5,1/23/2024,Winter,112340,96.07,5,Cleanliness,Hygiene standards were top notch.
H113,Seaside Shores,Florida,Resort,4,1/23/2024,Winter,110540,73.46,3.6,Cleanliness,Clean enough for a short stay.
H114,Metro Meridian,New York,Business,5,1/23/2024,Winter,66900,92.15,4.8,Amenities,Lots of extras included.
H115,Budget Haven,Texas,Budget,3,1/23/2024,Winter,47580,99.2,3.7,Amenities,Modern amenities and comfortable spaces.
H116,Mountain Retreat,Colorado,Boutique,3,1/24/2024,Winter,64420,73.67,3.5,Cleanliness,Clean enough for a short stay.
H117,The Grand Oak,California,Luxury,5,1/24/2024,Winter,64420,80.85,4.6,Service,Staff went above and beyond.
H118,Seaside Shores,Florida,Resort,4,1/24/2024,Winter,111190,83.19,5,Cleanliness,Hygiene standards were top notch.
H119,Metro Meridian,New York,Business,5,1/24/2024,Winter,113700,90.56,4.7,Service,Always greeted with a smile.
H120,Budget Haven,Texas,Budget,3,1/24/2024,Winter,13220,90.73,4.5,Amenities,Lots of extras included.
H121,Mountain Retreat,Colorado,Boutique,3,1/25/2024,Winter,53290,99.25,4.5,Cleanliness,Cleaned twice a day – amazing!
H122,The Grand Oak,California,Luxury,5,1/25/2024,Winter,8020,80.32,5,Food,Loved every meal served.
H123,Seaside Shores,Florida,Resort,4,1/25/2024,Winter,8990,89.08,4.2,Food,Tasty and well-prepared dishes.
H124,Metro Meridian,New York,Business,5,1/25/2024,Winter,21600,73.28,4,Amenities,Modern amenities and comfortable spaces.
H125,Budget Haven,Texas,Budget,3,1/25/2024,Winter,31340,94.18,5,Food,Loved every meal served.
H126,Mountain Retreat,Colorado,Boutique,3,1/26/2024,Winter,23220,75.22,5,Service,Exceptional staff and warm hospitality.
H127,The Grand Oak,California,Luxury,5,1/26/2024,Winter,36250,85.89,4.5,Cleanliness,Hygiene standards were top notch.
H128,Seaside Shores,Florida,Resort,4,1/26/2024,Winter,97130,95.18,4.1,Food,Breakfast was limited but decent.
H129,Metro Meridian,New York,Business,5,1/26/2024,Winter,108730,75.33,3.9,Food,Breakfast was limited but decent.
H130,Budget Haven,Texas,Budget,3,1/26/2024,Winter,57590,71.18,5,Cleanliness,So clean it felt brand new.
H131,Mountain Retreat,Colorado,Boutique,3,1/27/2024,Winter,58610,70.19,5,Cleanliness,Hygiene standards were top notch.
H132,The Grand Oak,California,Luxury,5,1/27/2024,Winter,76610,78.86,4.6,Service,Exceptional staff and warm hospitality.
H133,Seaside Shores,Florida,Resort,4,1/27/2024,Winter,37310,86.82,3.8,Food,Food took a while to arrive.
H134,Metro Meridian,New York,Business,5,1/27/2024,Winter,60270,71.33,4.6,Food,Loved every meal served.
H135,Budget Haven,Texas,Budget,3,1/27/2024,Winter,109590,92.36,4.1,Cleanliness,Room could smell a little better.
H136,Mountain Retreat,Colorado,Boutique,3,1/28/2024,Winter,30120,85.6,5,Food,Tasty and well-prepared dishes.
H137,The Grand Oak,California,Luxury,5,1/28/2024,Winter,64180,96.17,4.1,Cleanliness,Room was mostly clean.
H138,Seaside Shores,Florida,Resort,4,1/28/2024,Winter,68040,71.96,4.1,Cleanliness,A little bit of trash was still left in trash can.
H139,Metro Meridian,New York,Business,5,1/28/2024,Winter,115820,84.52,3.8,Food,Food took a while to arrive.
H140,Budget Haven,Texas,Budget,3,1/28/2024,Winter,52510,76.54,5,Amenities,Lots of extras included.
H141,Mountain Retreat,Colorado,Boutique,3,1/29/2024,Winter,22560,76.84,4.3,Service,Staff went above and beyond.
H142,The Grand Oak,California,Luxury,5,1/29/2024,Winter,12340,91.21,4.6,Service,Staff went above and beyond.
H143,Seaside Shores,Florida,Resort,4,1/29/2024,Winter,26230,73.89,4.2,Food,Loved every meal served.
H144,Metro Meridian,New York,Business,5,1/29/2024,Winter,56950,77.82,4.6,Service,Exceptional staff and warm hospitality.
H145,Budget Haven,Texas,Budget,3,1/29/2024,Winter,52230,87.16,4,Cleanliness,A little bit of trash was still left in trash can.
H146,Mountain Retreat,Colorado,Boutique,3,1/30/2024,Winter,44890,90.38,4.9,Service,Exceptional staff and warm hospitality.
H147,The Grand Oak,California,Luxury,5,1/30/2024,Winter,67970,83.47,5,Food,Tasty and well-prepared dishes.
H148,Seaside Shores,Florida,Resort,4,1/30/2024,Winter,11010,74.78,4.7,Service,Staff went above and beyond.
H149,Metro Meridian,New York,Business,5,1/30/2024,Winter,29160,98.66,4.3,Cleanliness,Cleaned twice a day – amazing!
H150,Budget Haven,Texas,Budget,3,1/30/2024,Winter,103710,99.63,4.7,Cleanliness,Cleaned twice a day – amazing!
H151,Mountain Retreat,Colorado,Boutique,3,1/31/2024,Winter,31370,95.21,4.5,Amenities,Lots of extras included.
H152,The Grand Oak,California,Luxury,5,1/31/2024,Winter,94680,81.62,5,Food,Tasty and well-prepared dishes.
H153,Seaside Shores,Florida,Resort,4,1/31/2024,Winter,102930,92.63,3.8,Food,Limited but decent selection.
H154,Metro Meridian,New York,Business,5,1/31/2024,Winter,23810,97.54,4.4,Service,Staff went above and beyond.
H155,Budget Haven,Texas,Budget,3,1/31/2024,Winter,29600,85.01,3.5,Cleanliness,Room could smell a little better.
H156,Mountain Retreat,Colorado,Boutique,3,2/1/2024,Winter,51500,72.46,5,Service,Always greeted with a smile.
H157,The Grand Oak,California,Luxury,5,2/1/2024,Winter,15020,76.98,4.2,Service,Staff went above and beyond.
H158,Seaside Shores,Florida,Resort,4,2/1/2024,Winter,77280,99.93,3,Amenities,"Felt like a hostel, not a hotel."
H159,Metro Meridian,New York,Business,5,2/1/2024,Winter,123410,86.83,4.8,Amenities,Lots of extras included.
H160,Budget Haven,Texas,Budget,3,2/1/2024,Winter,15520,86.28,4.7,Service,Staff went above and beyond.
H161,Mountain Retreat,Colorado,Boutique,3,2/2/2024,Winter,24280,90.92,4.8,Cleanliness,Hygiene standards were top notch.
H162,The Grand Oak,California,Luxury,5,2/2/2024,Winter,45120,92.78,4.1,Food,Food took a while to arrive.
H163,Seaside Shores,Florida,Resort,4,2/2/2024,Winter,28270,98.54,4.6,Cleanliness,Hygiene standards were top notch.
H164,Metro Meridian,New York,Business,5,2/2/2024,Winter,35910,91.17,4.3,Service,Exceptional staff and warm hospitality.
H165,Budget Haven,Texas,Budget,3,2/2/2024,Winter,102820,98.37,4.2,Amenities,Top-notch amenities with everything you need.
H166,Mountain Retreat,Colorado,Boutique,3,2/3/2024,Winter,16720,95.29,4.4,Amenities,Top-notch amenities with everything you need.
H167,The Grand Oak,California,Luxury,5,2/3/2024,Winter,56990,91.63,3.9,Cleanliness,Clean enough for a short stay.
H168,Seaside Shores,Florida,Resort,4,2/3/2024,Winter,56150,71.17,3.1,Food,Limited vegetarian options.
H169,Metro Meridian,New York,Business,5,2/3/2024,Winter,23970,94.81,5,Amenities,Top-notch amenities with everything you need.
H170,Budget Haven,Texas,Budget,3,2/3/2024,Winter,36210,96.32,4.7,Amenities,Lots of extras included.
H171,Mountain Retreat,Colorado,Boutique,3,2/4/2024,Winter,58250,90.68,3.4,Amenities,Very basic and outdated facilities.
H172,The Grand Oak,California,Luxury,5,2/4/2024,Winter,121410,83.81,5,Service,Always greeted with a smile.
H173,Seaside Shores,Florida,Resort,4,2/4/2024,Winter,54360,92.11,5,Cleanliness,Cleaned twice a day – amazing!
H174,Metro Meridian,New York,Business,5,2/4/2024,Winter,39040,95.08,4.6,Food,Tasty and well-prepared dishes.
H175,Budget Haven,Texas,Budget,3,2/4/2024,Winter,36230,89.35,4.5,Cleanliness,So clean it felt brand new.
H176,Mountain Retreat,Colorado,Boutique,3,2/5/2024,Winter,8230,91.62,3.6,Food,Food took a while to arrive.
H177,The Grand Oak,California,Luxury,5,2/5/2024,Winter,118970,74.18,3.6,Cleanliness,A little bit of trash was still left in trash can.
H178,Seaside Shores,Florida,Resort,4,2/5/2024,Winter,103270,76.73,3.8,Amenities,Modern amenities and comfortable spaces.
H179,Metro Meridian,New York,Business,5,2/5/2024,Winter,121600,99.95,4.5,Cleanliness,Hygiene standards were top notch.
H180,Budget Haven,Texas,Budget,3,2/5/2024,Winter,110600,74.04,4.1,Service,"Staff was helpful, though not always available."
H181,Mountain Retreat,Colorado,Boutique,3,2/6/2024,Winter,78430,86.45,3.9,Food,Limited but decent selection.
H182,The Grand Oak,California,Luxury,5,2/6/2024,Winter,96560,83.89,4.4,Service,Always greeted with a smile.
H183,Seaside Shores,Florida,Resort,4,2/6/2024,Winter,98000,76.3,4.8,Food,Loved every meal served.
H184,Metro Meridian,New York,Business,5,2/6/2024,Winter,111110,89.61,4,Food,Limited but decent selection.
H185,Budget Haven,Texas,Budget,3,2/6/2024,Winter,124600,88.94,4.7,Cleanliness,So clean it felt brand new.
H186,Mountain Retreat,Colorado,Boutique,3,2/7/2024,Winter,91470,89.8,3.7,Food,Limited but decent selection.
H187,The Grand Oak,California,Luxury,5,2/7/2024,Winter,9280,80.05,3.5,Cleanliness,Room could smell a little better.
H188,Seaside Shores,Florida,Resort,4,2/7/2024,Winter,69980,73.2,4.4,Amenities,Lots of extras included.
H189,Metro Meridian,New York,Business,5,2/7/2024,Winter,49020,70.8,3.8,Food,Food took a while to arrive.
H190,Budget Haven,Texas,Budget,3,2/7/2024,Winter,36500,88.44,4.8,Cleanliness,Cleaned twice a day – amazing!
H191,Mountain Retreat,Colorado,Boutique,3,2/8/2024,Winter,14850,77.07,4.4,Cleanliness,Hygiene standards were top notch.
H192,The Grand Oak,California,Luxury,5,2/8/2024,Winter,99590,97.25,4.2,Food,Tasty and well-prepared dishes.
H193,Seaside Shores,Florida,Resort,4,2/8/2024,Winter,107580,82.76,2.6,Amenities,Very basic and outdated facilities.
H194,Metro Meridian,New York,Business,5,2/8/2024,Winter,107730,98.4,2.8,Food,Food was average.
H195,Budget Haven,Texas,Budget,3,2/8/2024,Winter,89510,98.77,4,Service,"Staff was helpful, though not always available."
H196,Mountain Retreat,Colorado,Boutique,3,2/9/2024,Winter,102670,93.32,3.8,Cleanliness,Room could smell a little better.
H197,The Grand Oak,California,Luxury,5,2/9/2024,Winter,24870,99.89,4.8,Cleanliness,Cleaned twice a day – amazing!
H198,Seaside Shores,Florida,Resort,4,2/9/2024,Winter,88680,73.07,4.5,Cleanliness,Hygiene standards were top notch.
H199,Metro Meridian,New York,Business,5,2/9/2024,Winter,32150,80.55,4.2,Cleanliness,Cleaned twice a day – amazing!
H200,Budget Haven,Texas,Budget,3,2/9/2024,Winter,95290,99.13,5,Service,Staff went above and beyond.
H201,Mountain Retreat,Colorado,Boutique,3,2/10/2024,Winter,44880,80.42,4.5,Food,Tasty and well-prepared dishes.
H202,The Grand Oak,California,Luxury,5,2/10/2024,Winter,55450,81.9,4.3,Food,Tasty and well-prepared dishes.
H203,Seaside Shores,Florida,Resort,4,2/10/2024,Winter,28580,80.78,4.6,Amenities,Lots of extras included.
H204,Metro Meridian,New York,Business,5,2/10/2024,Winter,45890,87.39,4,Cleanliness,Room could smell a little better.
H205,Budget Haven,Texas,Budget,3,2/10/2024,Winter,89340,87.57,4.8,Cleanliness,Hygiene standards were top notch.
H206,Mountain Retreat,Colorado,Boutique,3,2/11/2024,Winter,77600,73.6,4.2,Food,Tasty and well-prepared dishes.
H207,The Grand Oak,California,Luxury,5,2/11/2024,Winter,13200,80.77,3.5,Cleanliness,Clean enough for a short stay.
H208,Seaside Shores,Florida,Resort,4,2/11/2024,Winter,108940,83.47,4.1,Amenities,Modern amenities and comfortable spaces.
H209,Metro Meridian,New York,Business,5,2/11/2024,Winter,24030,77.47,3.4,Amenities,Some amenities were broken or missing.
H210,Budget Haven,Texas,Budget,3,2/11/2024,Winter,49840,99.17,4.8,Food,Tasty and well-prepared dishes.
H211,Mountain Retreat,Colorado,Boutique,3,2/12/2024,Winter,44260,77,4,Food,Limited but decent selection.
H212,The Grand Oak,California,Luxury,5,2/12/2024,Winter,40470,78.27,4.6,Service,Staff went above and beyond.
H213,Seaside Shores,Florida,Resort,4,2/12/2024,Winter,33700,93.06,4.1,Service,"Staff was helpful, though not always available."
H214,Metro Meridian,New York,Business,5,2/12/2024,Winter,40270,82.17,2.8,Food,Limited vegetarian options.
H215,Budget Haven,Texas,Budget,3,2/12/2024,Winter,17450,96.49,3.3,Amenities,Okay. Nothing special.
H216,Mountain Retreat,Colorado,Boutique,3,2/13/2024,Winter,73210,81.81,4.8,Amenities,Top-notch amenities with everything you need.
H217,The Grand Oak,California,Luxury,5,2/13/2024,Winter,27120,87.65,4.2,Food,Loved every meal served.
H218,Seaside Shores,Florida,Resort,4,2/13/2024,Winter,37910,90.59,4.6,Food,Tasty and well-prepared dishes.
H219,Metro Meridian,New York,Business,5,2/13/2024,Winter,108910,84.92,5,Service,Staff went above and beyond.
H220,Budget Haven,Texas,Budget,3,2/13/2024,Winter,27200,82.27,3.7,Cleanliness,Had to dust a bit but overall room was clean.
H221,Mountain Retreat,Colorado,Boutique,3,2/14/2024,Winter,20140,70.3,4.4,Food,Loved every meal served.
H222,The Grand Oak,California,Luxury,5,2/14/2024,Winter,114480,97.49,4.6,Food,Tasty and well-prepared dishes.
H223,Seaside Shores,Florida,Resort,4,2/14/2024,Winter,91320,94.98,4.3,Service,Exceptional staff and warm hospitality.
H224,Metro Meridian,New York,Business,5,2/14/2024,Winter,124200,79.49,4.3,Cleanliness,So clean it felt brand new.
H225,Budget Haven,Texas,Budget,3,2/14/2024,Winter,87470,77.85,5,Food,Loved every meal served.
H226,Mountain Retreat,Colorado,Boutique,3,2/15/2024,Winter,102040,92.39,5,Service,Always greeted with a smile.
H227,The Grand Oak,California,Luxury,5,2/15/2024,Winter,100290,84.65,3.3,Food,Food was average.
H228,Seaside Shores,Florida,Resort,4,2/15/2024,Winter,21640,92.4,3.8,Cleanliness,Clean enough for a short stay.
H229,Metro Meridian,New York,Business,5,2/15/2024,Winter,17730,73.4,4.1,Food,Breakfast was limited but decent.
H230,Budget Haven,Texas,Budget,3,2/15/2024,Winter,42720,79.22,3.8,Food,Limited but decent selection.
H231,Mountain Retreat,Colorado,Boutique,3,2/16/2024,Winter,122810,79.67,5,Cleanliness,Cleaned twice a day – amazing!
H232,The Grand Oak,California,Luxury,5,2/16/2024,Winter,118510,93.21,4.4,Amenities,Lots of extras included.
H233,Seaside Shores,Florida,Resort,4,2/16/2024,Winter,8570,89.25,4.8,Amenities,Lots of extras included.
